Address,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,YearBuilt,BuiltCode,YearAlter1,YearAlter2
115 WEST 227 STREET,2.5,2,2,50,100,24,50,1910,E,0,0
2502 FREDRICK DOUGLASS BL,5,9,10,25,100,25,80,1910,,1993,0
310 EAST 92 STREET,6,15,15,25,100.67,25,82,1950,E,1984,1999
62 EAST 119 STREET,4,3,3,20,100.92,20,50,2001,,0,0
59 WEST 44 STREET,3,0,2,91.83,100.42,19,100,1902,,0,0
103 AVENUE B,4,5,6,20.17,93,20.17,65,1900,E,1990,0
535 WEST 142 STREET,3,3,3,16.67,99.92,17,50,1910,,2003,0
151 WEST 76 STREET,4,1,1,18,102.17,18,64,1900,E,2009,0
9 WEST 69 STREET,5,12,12,20,100.42,20,76,1920,E,1978,0
22 EAST 14 STREET,5,0,2,75,206.5,0,0,1920,,0,0
4395 BROADWAY,6,60,60,130.42,99.25,130,84,1940,E,1988,0
50 BOND STREET,7,6,7,31.5,125,31,125,1896,,2000,0
319 WEST 92 STREET,4,8,8,20,56.83,20,56,1900,E,1985,0
110 WEST 86 STREET,16.5,79,82,80,102.17,80,83,1929,,0,0
53 MARKET STREET,5,15,15,28.5,89.5,28,72,1921,E,0,0
668 WATER STREET,6,474,474,300.33,677.5,170.83,55.83,1940,,0,0
2642 BROADWAY,3,0,2,25,90,25,86,1930,E,0,0
2192 AMSTERDAM AVENUE,5,17,19,40,100,39,86,1911,,0,0
584 WEST 183 STREET,3,0,1,15,104.92,15,55,1899,,0,0
54 WARREN STREET,6,4,5,25.25,100.25,25,88,1915,,1989,2003
284 WEST 137 STREET,4,8,8,15.5,99.92,18,77,1910,,1967,0
260 WEST 88 STREET,3,3,3,18,100.67,18,67,1910,E,0,0
132 WEST 125 STREET,6,0,7,100,201.83,100,202,1940,,1989,0
90 BENNETT AVENUE,1,0,1,50,125,50,115,1940,E,0,0
1351 ST NICHOLAS AVENUE,6,32,38,94.92,100,95,88,1910,E,0,0
17 CLINTON STREET,5,8,10,25,100,25,50,1910,E,1992,0
23 EAST 129 STREET,3,3,3,16.67,99.92,16.67,55,1905,,2007,0
468 WEST 146 STREET,3,3,3,25,99.92,25,43,1910,E,0,0
282 3 AVENUE,4,4,6,25,75,23,74,1910,E,1988,0
359 WEST 52 STREET,4,3,4,18.75,100.42,19,54,1920,,0,0
151 WEST 93 STREET,3,2,2,0.03,0,0,0,1900,E,0,0
232 EAST 26 STREET,5,22,22,27.5,98.75,28,87,1920,E,0,0
137 EAST 2 STREET,3,0,2,86,105.92,86,102,1962,,1985,0
2292 2 AVENUE,2.5,0,1,25.33,100,25.33,90,1994,,1981,0
155 EAST 91 STREET,9,48,48,60,100.67,60,82,1927,,1986,0
6 EAST 12 STREET,5,5,5,25,103.25,25,66,1900,E,1988,2007
628 EAST 9 STREET,5,15,15,27.5,93.92,28,80,1910,E,0,0
87 CHRYSTIE STREET,6,10,11,19,100,19,90,1900,E,1988,0
219 EAST 48 STREET,3,2,2,12.67,100.42,12.67,46,1899,E,0,0
426 WEST 160 STREET,3,2,2,18,100,18,50,1899,E,0,0
,0,0,0,0,0,0,0,0,,0,0
53 WEST 75 STREET,4,13,13,23,102.17,23,87,1910,E,2000,2000
91 BAXTER STREET,7,44,45,50,101,25,90,1880,E,1985,0
52 WEST 8 STREET,3,0,4,48,142,48,140,1929,,1970,2013
19 EAST 82 STREET,5,1,1,25,102.17,25,102,1900,E,2005,0
509 WEST 140 STREET,5,15,15,37.5,99.92,37,87,1920,,1983,0
69 WEST 92 STREET,3,3,3,20,100.67,20,50,1899,E,0,0
249 WEST 45 STREET,3,0,1,20,200.83,20,201,1923,,0,0
118 10 AVENUE,1,0,1,68.83,100,69,100,1950,E,1988,2000
157 EAST 55 STREET,4,4,5,20,100.42,20,48,1910,,0,0
1166 AVENUE OF THE AMER,44,0,46,200.83,310,0,0,1974,,1988,0
2473 BROADWAY,2,0,2,50,100,50,100,1920,E,1987,0
225 EAST 36 STREET,21,286,286,166.25,109.83,163,109,1963,,1989,0
143 WEST 21 STREET,5,5,5,19.42,98.75,19,73,1910,E,1986,0
162 EAST 63 STREET,4,1,1,16,101.92,16,50,1899,E,0,0
467 WEST 21 STREET,3,1,1,20,98.75,20,35,1920,E,0,0
94 HESTER STREET,5,12,16,66.17,41.67,66,41,1920,E,1987,2008
22 EAST 66 STREET,5,2,6,20,100.42,20,70,1939,,1974,0
608 WEST 48 STREET,2,0,1,25,100.42,25,100,1929,,0,0
316 EAST 6 STREET,5,20,20,25,97,25,52,1900,E,0,0
258 WEST 88 STREET,3,6,6,18,100.67,18,67,1910,E,2005,2005
166 SPRING STREET,5,4,7,37.17,67.5,37.17,67.5,1900,,2012,0
355 PLEASANT AVENUE,3,4,4,16.67,75,16.67,45,1900,E,0,0
57 MONROE STREET,2,0,0,167.08,209,120,56,1936,,0,0
195 WEST HOUSTON STREET,4,0,1,25,100,25,100,1900,,0,0
129 EAST 124 STREET,3,0,1,25,100.92,25,95,1910,E,1988,0
244 WEST 101 STREET,5,14,14,25,100.92,25,89,1925,,0,0
159 WEST 88 STREET,3,1,1,13,100.67,13,60,1901,E,0,0
391 MANHATTAN AVENUE,3,0,2,18,50,18,41,1910,E,1985,0
880 LEXINGTON AVENUE,4,18,21,40,70,40,47,1900,E,0,0
510 WEST 151 STREET,5,14,14,33.33,99.92,33,86,1905,,1988,0
436 EAST 86 STREET,37,315,317,143.83,152,136,112,1973,,1978,0
352 EAST 119 STREET,3,2,2,20,100.92,20,29,1901,E,0,0
142 EAST END AVENUE,4,1,1,31,46,32,34,1890,E,2013,0
1348 ST NICHOLAS AVENUE,5,12,14,39,100,39,86,1910,E,0,0
264 EAST 7 STREET,3,3,3,22.67,90.83,22.67,42,1900,E,0,0
351 CONVENT AVENUE,2,0,1,99.92,117,76,102,1926,,0,0
4035 10 AVENUE,3,0,1,199.83,500,174,219.67,1951,,1989,0
3289 BROADWAY,4,8,8,25,75,25,61,1920,E,1989,0
107 AVENUE D,6,45,45,60,50,54,50,1900,E,1991,0
1407 MADISON AVENUE,5,8,10,25,95,25,80,1920,,0,0
122 WEST 75 STREET,4,10,10,20,102.17,20,70,1900,E,1949,0
177 ORCHARD STREET,5,16,19,22.67,87.67,23,73,1900,E,1996,0
555 WEST 185 STREET,0,0,0,20.5,107.42,0,0,0,,0,0
38 MARBLE HILL AVENUE,2.75,10,10,35,100,20,53,1910,,0,0
31 WEST 17 STREET,13,11,12,25,87,25,97,2005,,0,0
28 5 AVENUE,15,144,153,92.25,152,92,140,1923,,1989,0
212 WEST 83 STREET,5,0,1,100,102.17,100,88,1929,,1998,2006
303 WEST 128 STREET,2,0,1,20,99.92,20,58.83,1900,,0,0
124 WEST 20 STREET,3,0,1,75,92,75,88,1900,E,0,0
733 3 AVENUE,23,0,20,101,237.17,101,237,1960,,2004,0
324 EAST 48 STREET,5,19,21,25,100.42,25,60,1900,E,0,0
221 WEST 148 STREET,5,10,10,25.33,99.92,0,0,2008,,0,0
71 LEROY STREET,2,2,2,21.67,100,21.67,42,1901,E,0,0
1498 3 AVENUE,5,12,14,25.5,102.17,26,90,1910,E,1973,0
1057 1 AVENUE,5,16,18,25.42,73,25.42,58,1930,E,0,0
536 WEST 156 STREET,3,1,1,16.67,99.92,16.67,50,1901,E,0,0
38 MURRAY STREET,21,390,395,286.79,165.15,286,165,1964,,2000,0
312 WEST 142 STREET,5,15,15,25,99.92,25,85,1910,E,1993,0
135 EAST 94 STREET,4,1,1,16.67,100.67,16.67,48,1899,E,2004,0
29 EAST 10 STREET,8,0,8,25,95,0,0,1900,,0,0
94 BRADHURST AVENUE,6,25,25,49.92,100,49.92,90,1910,,2003,0
127 WEST 94 STREET,3,0,1,16,100.67,16,50,1910,E,2005,0
113 DIVISION STREET,5,8,10,25.83,64,26,51,1900,E,1988,0
299 PARK AVENUE,42,0,16,200.83,200,159,149,1966,,2014,0
255 WEST 113 STREET,3,3,3,18,100.92,18,50,1890,E,0,0
2 COENTIES SLIP,5,4,6,75.17,24.17,75,25,1920,E,1970,0
558 7 AVENUE,3,0,7,24.67,100,25,100,1925,E,0,0
167 RIVINGTON STREET,4,8,10,25,65.5,25,53,1910,,1997,0
481 RIVERSIDE DRIVE,19,0,2,453.67,200,123.58,53,1927,,0,0
524 WEST 143 STREET,3,1,1,16.17,99.92,16.17,50,1899,E,2004,0
579 AVENUE OF THE AMER,3,0,1,23,75,23,75,1920,E,2007,0
755 WASHINGTON STREET,2,0,1,100.75,82.17,100.75,82.16,1921,,2014,0
308 WEST 75 STREET,4,0,1,148,137.33,148,128,1972,,2009,0
307 WEST 84 STREET,5,3,3,17,102.17,16,58,1910,E,0,0
1571 2 AVENUE,20,177,182,102.17,152.5,98,148,1963,,0,0
77 CHARLES STREET,3,2,2,20,95.25,20,45,1905,E,0,0
400 WEST 12 STREET,15,60,60,160,278,90,160,2007,,0,0
870 PARK AVENUE,3,1,1,25,100,25,94,1950,E,0,0
512 WEST 167 STREET,2,1,1,25,85,22,32,1920,E,0,0
167 EAST 74 STREET,4,3,3,20,102.17,20,60,1910,E,0,0
2190 ADAM C POWELL BLVD,3,0,1,20,73.5,20,71,1920,,0,0
539 WEST 148 STREET,2,6,6,25,99.92,25,74,1920,E,0,0
523 GRAND STREET,3,2,3,17.5,60.42,17.5,29,1910,E,0,0
259 WEST 95 STREET,3,61,61,100,201,23,20,1921,,0,0
1691 2 AVENUE,5,8,10,25,80,25,65,1900,E,1988,0
327 WEST 89 STREET,5,10,10,22,75.67,22,69,1920,E,1987,0
139 EAST 33 STREET,19,193,196,80,188.25,74,174,1957,,1988,0
204 AVENUE A,4,6,8,25.75,96,50,26,1910,E,1987,0
5 GROVE COURT,3,1,1,16.33,24,16.33,24,1901,E,0,0
315 EAST 83 STREET,3,0,1,25,102.17,25,50,1930,E,0,0
924 BROADWAY,4,0,5,39.83,113.33,40,110,1920,E,1976,2012
514 EAST 87 STREET,4,1,1,18,63.39,18,42,1890,E,2013,0
99 WOOSTER STREET,3,0,1,25,100,25,98,1910,E,1987,2012
566 WEST 183 STREET,3,12,12,18.75,104.92,18.75,52,1912,,0,0
236 EAST 74 STREET,4,10,10,16.67,102.17,17,53,1920,E,1987,0
693 WASHINGTON STREET,3,1,1,20.75,83.08,20.75,45,1945,,0,0
99 MADISON AVENUE,17,0,19,74.08,100,74,100,1916,,1986,0
422 EAST 91 STREET,3,0,1,50,100.71,50,98,1915,,0,0
345 WEST 141 STREET,5,35,35,43.92,101.25,43.92,95,1910,,0,0
121 EAST 105 STREET,4.75,0,2,66.67,100.92,52,100,1955,,1987,0
WEST 130 STREET,0,0,0,16.67,99.92,0,0,0,,0,0
510 WEST 126 STREET,2,0,2,50,100,50,95,1950,E,1996,1996
1375 BROADWAY,24,0,53,104,195.83,104,196,1927,,0,0
348 WEST 45 STREET,5,20,20,25,100.42,25,83,1920,E,1984,0
340 EAST 51 STREET,14,115,116,93.75,100.42,93.75,70,1965,,0,0
14 WEST 127 STREET,6,24,24,50,99.92,50,87,1940,,2003,0
226 EAST 79 STREET,3,2,2,17.92,102.17,17.92,45,1901,E,0,0
233 EAST 82 STREET,5,20,20,25.42,102.17,25,85,1910,E,0,0
360 MADISON AVENUE,24,0,2,195,100.45,100,100,1917,,0,0
250 WEST 75 STREET,9,36,36,60,102.17,60,87,1922,,1988,0
1 BROADWAY TERRACE,4,16,16,35,100,35,86,1928,E,1986,0
440 WEST 57 STREET,17,0,4,175,200.83,200,201,1964,,0,0
538 WEST 29 STREET,3,1,4,25.5,98.75,25.5,98.75,1910,,1987,0
63 PERRY STREET,6,24,24,50,95,50,81,1905,,0,0
451 EAST 114 STREET,3,3,3,24,75,24,38,1899,E,0,0
31 ADRIAN AVENUE,2.75,2,2,26.08,101.17,19,45,1901,E,0,0
424 EAST 116 STREET,6,22,24,35.42,100.92,35,86,1900,E,0,0
483 WEST END AVENUE,12,0,1,59,79,58,79,1915,,0,0
316 EAST 93 STREET,6,29,30,37.5,100.67,38,87,1925,E,1989,0
215 EAST 121 STREET,6,33,34,49.42,100.92,49,86,1920,,1988,2005
54 EAST 1 STREET,6,24,25,20.67,100.42,21,88,1910,E,0,0
105 WEST 132 STREET,3,2,2,13,99.92,13,55,1910,E,2001,0
444 WEST 22 STREET,3,3,3,25,98.75,25,43,1901,E,0,0
104 EAST 25 STREET,12,0,16,100,98.75,100,85,1913,,1985,2005
78 EAST 3 STREET,4,20,20,25,100.67,25,44,1910,E,1956,0
1692 2 AVENUE,5,8,9,25,75,23,58,1910,E,1996,0
28 WEST 12 STREET,4,5,7,20,87.75,20,60,1900,E,1984,0
418 CENTRAL PARK WEST,10,88,88,100.92,117,100,110,1902,,1986,0
138 WEST 18 STREET,2,1,2,23,92,23,92,1920,,0,0
210 WEST 137 STREET,3,11,11,18,99.92,18,65,1910,,0,0
79 JANE STREET,3,2,2,20.67,87.42,20.67,42,1899,E,2013,0
1003 COLUMBUS AVENUE,1,0,11,120.83,124.67,121,125,1920,E,1985,0
90 MADISON STREET,0,0,0,50,100,0,0,0,,0,0
252 WEST 85 STREET,10,38,38,80,102.17,80,86,1914,E,1989,0
211 WEST STREET,0,0,0,70.08,859.83,0,0,1940,E,0,0
WEST 47 STREET,0,0,0,75,100.42,0,0,0,,0,0
875 WEST 181 STREET,6,84,86,163,215,156,158,1917,,1987,0
701 WEST 135 STREET,3,0,4,0,0,0,0,1926,,0,0
165 WAVERLY PLACE,5,0,1,63,72.58,63,72,1915,E,1980,0
223 EAST 28 STREET,5,20,20,25,98.75,25,88,1920,,1960,0
310 WEST 47 STREET,7,65,66,0,0,100,100.42,1910,,0,0
530 EAST 5 STREET,6,10,10,38.66,96.17,0,0,2009,,0,0
1845 ADAM C POWELL BLVD,6,46,48,201.84,100,198,100,1915,,1988,0
113 STANTON STREET,5,4,5,0,0,26,75,1900,,2010,0
159 EAST 118 STREET,1,0,1,25,100.92,25,99,1954,,1987,0
303 EAST 111 STREET,1,0,1,27.08,100.92,27.08,100.92,1940,E,0,0
98 HAMILTON PLACE,7,20,20,97.67,53.5,92,53,1900,E,1988,0
60 WEST 89 STREET,4,9,9,20,100.67,20,67,1900,E,1978,0
329 GRAND STREET,3,2,3,21.58,65,22,65,1910,E,0,0
83 WORTH STREET,5,0,5,47.58,100,48,98,1920,E,0,0
56 LUDLOW STREET,5,4,5,25,87.5,25,71,1900,E,1990,0
20 EAST 88 STREET,5,18,18,25,100.67,24,89,1923,E,0,0
176 7 AVENUE,4,6,7,23,91.67,23,38,1901,E,0,0
333 WEST 19 STREET,5,15,15,25,92,25,76,1910,E,1988,0
29 WEST 69 STREET,4,7,7,23,100.42,23,83,1910,E,2003,0
323 EAST 44 STREET,39,0,1,150,200.83,150,176,1984,,2012,0
53 WEST 9 STREET,4,1,1,16,92.25,16,45,1899,E,0,0
50 WEST 91 STREET,4,4,4,18,100.67,18,62,1900,E,1980,0
4580 BROADWAY,6,113,116,200,150,200,125,1937,,0,0
325 EAST 64 STREET,8,85,88,125,100,125,81,1920,,1977,2010
17 PELL STREET,5,3,8,21.33,50.17,21,50,1915,,1961,0
140 1 AVENUE,4,3,4,19,80,19,60,1920,,0,0
537 WEST 142 STREET,3,3,3,30,99.92,30,50,1910,,1999,0
74 5 AVENUE,12,36,38,51.58,125,52,125,1910,,1982,0
166 WEST 228 STREET,2.5,1,1,30,100,20,40,1901,E,0,0
43 WEST 124 STREET,1,0,1,162.5,100.92,96,68,1962,E,0,0
172 EAST 80 STREET,4,8,8,19,102.17,19,58,1915,E,0,0
151 WEST 106 STREET,5,10,10,25,100.92,25,84,1910,E,1992,0
46 EAST 1 STREET,5,24,24,24.17,100.17,24,68,1910,E,1961,0
BROADWAY,0,0,0,11,400.08,0,0,0,,0,0
701 ESPLANADE GDNS PLAZA,4,0,5,79.83,100,79,100,1900,E,2007,0
301 WADSWORTH AVENUE,6,47,47,100,100,100,87,1924,,0,0
30 ORCHARD STREET,11,9,10,25,89.33,25,87.67,1979,,2006,2006
42 MARKET STREET,4,18,23,25,86.08,25,43,1910,,0,0
132 EAST 119 STREET,5,21,21,47,100.92,47,84,1910,E,1987,0
26 COMMERCE STREET,3,2,2,16.67,53.08,16.67,35,1899,E,0,2009
211 WEST 141 STREET,4,5,6,25,99.92,24,78,1964,E,1984,0
103 MAC DOUGAL STREET,7,36,37,25,135.5,25,135,1900,E,0,0
126 EAST 103 STREET,6,28,30,51,100.92,51,88,1910,E,1988,0
6 WEST 71 STREET,5,10,10,20,100.42,20,75,1900,,1989,0
117 WEST 130 STREET,3,10,10,19,99.92,19,50,1910,E,0,0
13 ESSEX STREET,6,44,48,50.33,87.5,25,75,1900,E,0,0
136 EAST 124 STREET,5,8,10,40,71,40,67,1900,E,1993,0
122 EAST 65 STREET,5,1,1,20,100.42,20,55,1910,E,2006,0
237 EAST 12 STREET,5,10,10,20.5,103.25,21,67,1900,E,1988,0
60 EAST 55 STREET,41,74,76,86,100.42,86,100,2003,,0,0
298 GRAND STREET,2.5,0,3,25.83,87.58,26,87,1900,E,0,0
788 LEXINGTON AVENUE,4,4,6,20,65,20,65,1950,E,1989,2014
270 WEST 25 STREET,4,20,20,50,98.75,50,64,1930,,1987,0
10 EAST 10 STREET,4,4,4,25,92.25,25,56,1910,E,0,0
192 EAST 75 STREET,10,38,39,50,102.17,48,84,1927,,0,0
226 WEST 145 STREET,2,0,2,25,99.92,25,95,1930,E,0,0
418 EAST 89 STREET,5,23,23,25,100.67,25,73,1890,E,1989,0
857 10 AVENUE,2,0,1,75,100,75,100,1926,E,0,0
351 CANAL STREET,5,8,12,61.33,78.83,61,84,1900,,1980,0
237 WEST 15 STREET,4,14,15,25,103.25,25,45,1905,E,1989,0
280 WEST 25 STREET,4,1,1,19,49.33,19,36,1900,E,2008,2006
43 WEST 119 STREET,3,2,2,17,100.92,17,55,1899,E,0,0
40 ADRIAN AVENUE,2,1,1,18.75,50,18.75,32,1925,E,0,0
29 HOWARD STREET,5,4,5,25.65,100,0,0,1895,,0,0
36 KING STREET,3,2,2,20,100.42,20,40,1901,E,0,0
231 WEST 113 STREET,3,2,2,16.67,100.92,16,50,1890,E,0,0
500 AUDUBON AVENUE,5,28,28,109.75,60,100,59,1917,,1987,0
541 HUDSON STREET,3,2,3,19.5,73.75,19.5,43,1950,E,0,0
55 EAST 54 STREET,4,0,2,22,100.42,22,58,1980,,0,0
54 ELIZABETH STREET,7,89,94,74.42,88.83,31,74,1890,E,0,0
1378 LEXINGTON AVENUE,4,23,28,67.5,88.25,64,74,1910,E,0,0
56 BANK STREET,3,2,2,20,42,20,36,1899,E,2005,0
303 WEST 78 STREET,3,2,2,16.92,69,16.92,50,1901,E,0,0
517 EAST 118 STREET,2,1,1,25,100.92,22,35.92,1899,E,0,0
158 EAST 72 STREET,15,20,21,54,104.33,54,84,1928,,0,0
219 AVENUE B,5,8,9,22,88,22,78,1910,E,0,0
417 EAST 76 STREET,7,10,10,25,102.17,25,80,2005,,0,0
410 EAST 83 STREET,5.5,10,10,25,102.17,25,62,1915,E,0,0
328 EAST 43 STREET,10,62,62,66.67,100.42,66.67,85,1928,,1985,0
241 WEST 23 STREET,7,11,12,40,98.75,40,99,1898,E,1985,0
100 BOWERY,5,0,4,25.08,99.92,25,90,1916,,1985,0
646 10 AVENUE,6,17,19,46.92,60,46,60,1960,E,2004,0
554 10 AVENUE,0,0,0,39.5,64,0,0,0,,0,0
120 EAST 101 STREET,3,1,1,17,100.92,17,46,1890,E,0,0
309 EAST 104 STREET,4,8,10,25,100.92,25,59,1910,,1989,0
11 JONES STREET,5,20,20,24.92,100,25,85,1900,E,0,0
403 EAST 58 STREET,4,5,6,18.33,100.42,18,68,1910,E,0,0
40 EAST 19 STREET,9,14,15,42.83,92,42.83,84,1905,,0,0
3 EAST 17 STREET,2,0,2,25,92,25,82,1904,,0,0
83 MACOMBS PLACE,1,0,0,114,85,0,0,1920,E,0,0
1413 AMSTERDAM AVENUE,4,14,16,25.17,100,25.17,75,1901,,1993,0
337 WEST 87 STREET,4,5,5,19,100.67,19,69,1900,E,0,0
6 EAST 2 STREET,4,4,4,25.67,63.17,26,60,1900,,1984,0
1781 LEXINGTON AVENUE,4,6,7,20,70,20,68,1910,,0,0
533 WEST 141 STREET,3,1,1,12.33,99.92,12,68,1920,,2006,0
50 PARK PLACE,19,0,33,160.08,335,159,335,1959,,2007,0
134 WEST 10 STREET,5,7,10,39,187.58,39,187.58,1910,E,2004,2004
39 WEST 29 STREET,12,0,15,50,98.75,50,86,1914,,0,0
716 ST NICHOLAS AVENUE,4,4,4,21,100,21,76,1920,,1987,2000
381 BLEECKER STREET,5,4,5,23,61.58,23,48,1910,E,1966,0
1980 LEXINGTON AVENUE,11,200,200,201.83,315,136,158,1986,,1989,0
319 7 AVENUE,21,0,29,197.5,101.08,198,101,1920,,1980,0
50 EDGECOMBE AVENUE,3,1,1,18,68,18,52,1901,E,0,0
83 CHAMBERS STREET,5,8,9,25,150.5,25,150.5,1915,,0,0
330 WEST 36 STREET,8,0,121,41.67,98.75,41,91,1920,E,1987,0
1015 AVENUE OF THE AMER,4,4,6,24.67,60,24.67,50,1920,E,1999,0
416 EAST 81 STREET,5,20,20,25,102.17,25,72,1900,E,1960,0
WEST 113 STREET,0,0,0,16.67,100.92,0,0,0,,0,0
37 WEST 53 STREET,0,0,1,21.75,100.42,0,0,1978,,0,0
316 5 AVENUE,6,0,26,24.67,100,24,100,1980,,0,0
328 WEST 47 STREET,5,20,20,28,100.42,28,77,1920,E,1983,0
138 WEST 11 STREET,4,10,10,45,125,23,60,1855,E,0,0
712 WEST 176 STREET,5,40,40,100,100,100,88,1930,E,1981,0
423 EAST 81 STREET,5.5,20,21,25,102.17,24,80,1915,,1988,2001
425 CONVENT AVENUE,3,1,1,17,85,17,55,1901,E,0,0
243 EAST 49 STREET,3,1,1,18,100.42,18,48,1899,E,2004,0
316 WEST 36 STREET,5,13,14,25,98.75,25,88,1920,E,1987,0
71 WEST 131 STREET,3,5,5,16.67,99.92,16.67,50,1910,,1992,0
370 WEST 127 STREET,5,10,10,25,99.08,25,86,1901,,1990,0
422 EAST 58 STREET,6,24,24,40,100.42,40,86,1939,E,1986,2008
558 WEST 183 STREET,3,8,8,18.75,104.92,19,50,1912,,0,0
1154 1 AVENUE,5,16,19,50,81,0,0,1910,,1980,0
541 EAST 72 STREET,5,10,11,40.83,64.33,41,59,1910,E,0,0
244 10 AVENUE,5,9,10,24.67,80,25,50,1910,E,0,0
347 EAST 84 STREET,3,1,1,20,102.17,20,40,1901,E,0,0
75 NASSAU STREET,4,18,22,51.67,106,51.67,98,1900,E,1989,2002
95 PITT STREET,5,18,20,25,112.58,25,82,1920,E,1989,0
301 WEST 4 STREET,3,2,3,19.42,51.58,19.42,40,1910,E,0,0
172 WEST 109 STREET,5,15,15,25,100.92,25,85,1910,E,0,0
163 EAST 64 STREET,5,1,1,20,100.42,20,50,1899,E,0,0
307 EAST 18 STREET,5,20,20,25,92,25,79,1920,E,0,0
215 EAST 81 STREET,8,40,40,50.1,102.2,50,68,1974,,0,0
1130 3 AVENUE,20,151,158,200.83,100,201,100,1957,,2015,2009
PIER 48,0,0,0,377.33,754,0,0,0,,0,0
108 EAST 123 STREET,4,18,18,40,100.92,40,63,1900,,1989,0
116 DUANE STREET,5,5,6,25,116.67,75,108,1915,,0,0
258 EAST 4 STREET,6,51,51,123.1,96.17,123.8,59.2,1992,,0,0
39 5 AVENUE,14,58,60,54.75,141.83,55,100,1922,,1988,0
2541 ADAM C POWELL BLVD,27,1225,1229,459.67,821.5,248.83,62.83,1968,,0,0
526 WEST 147 STREET,5,21,21,50,99.92,50,84,1920,,0,0
148 BAXTER STREET,5,5,7,21.08,71.67,21.08,50,1920,,0,0
138 LEXINGTON AVENUE,4,2,2,16.25,81,16.25,52,1920,,1962,2005
335 WEST 21 STREET,5,20,20,25,98.75,25,82,1920,E,1988,0
543 WEST 156 STREET,0,0,0,39.25,99.92,0,0,0,,0,0
1663 MADISON AVENUE,7,12,13,25,95,23,65,2010,,0,0
29 WEST 74 STREET,4,9,9,25,109.33,25,90,1910,E,1986,0
121 STANTON STREET,1,0,1,20.83,150.08,21,148,1939,,0,0
130 EAST 83 STREET,2,0,3,46.08,52.17,46,52,1910,E,1985,0
153 EAST 67 STREET,5,0,1,75,100.42,50,68,1887,,0,0
137 EDGECOMBE AVENUE,5,10,10,25.25,117,25.25,96,1910,,1991,0
30 AVENUE B,5,16,18,24.17,80,24,70,1900,E,0,0
4 EAST 28 STREET,12,0,227,75,98.75,75,98.75,1904,,1906,2014
416 LAFAYETTE STREET,5,41,41,45,137.5,45,131,1910,,1987,0
135 EAST 36 STREET,6,1,2,20,74.58,20,70,1915,E,1961,2008
310 WEST 94 STREET,7,34,34,62,100.67,62,89,1910,E,1980,0
133 WEST 70 STREET,5,0,1,19.92,100.42,20,86,1910,E,1951,0
165 EAST 73 STREET,2,2,2,25,102.17,25,100.17,1920,E,0,0
172 WEST 225 STREET,2,2,2,25,100,20.75,56.5,1920,E,0,0
105 WEST 62 STREET,6,0,1,221.75,264.58,198,263.08,1964,,0,0
62 EAST 87 STREET,5,15,15,25.5,100.67,26,84,1923,,1987,0
178 BLEECKER STREET,6,5,7,21.83,98,0,0,2014,,0,0
14 WEST 55 STREET,5,9,12,20,100.42,20,83,1925,,0,0
154 WEST 76 STREET,4,10,10,20.5,102.17,21,69,1910,E,1987,0
497 BROOME STREET,4,0,2,20.83,64.67,21,61,1900,E,1988,2013
15 WEST 100 STREET,5,12,13,25,89,25,74,1920,,0,0
111 WEST 75 STREET,4,10,10,20,102.17,20,69,1900,E,1977,0
1833 LEXINGTON AVENUE,14,587,595,475.67,420,247,119,1947,,1985,1986
319 10 AVENUE,13,210,211,49.33,100,0,0,2015,,0,0
333 WEST 21 STREET,5,22,22,25,98.75,25,88,1900,E,1988,0
105 EAST 100 STREET,5,9,9,25,75,25,60,1910,E,1986,0
801 MADISON AVENUE,5,0,2,18,84,18,66,1920,,1995,1995
15 EAST 97 STREET,3,0,2,75,100.92,75,78,1902,,0,0
411 EAST 70 STREET,6,33,35,50,100.42,50,86,1910,,0,0
210 EAST 14 STREET,5,8,9,17,103.25,17,97,1900,E,1997,0
304 EAST 90 STREET,5,20,20,25,100.71,25,72,1925,E,1988,0
108 WEST 76 STREET,5,1,1,25.08,102.17,25,74,1900,E,1979,2008
167 LUDLOW STREET,5,15,16,25,87.5,25,54,1910,E,0,0
401 WEST 147 STREET,3,2,2,16,74.92,16,55,1901,E,0,0
333 WEST 11 STREET,4,9,9,21.33,95,21,50,1911,E,1956,0
910 7 AVENUE,13,61,66,100.42,100,99,86,1913,,1980,0
1691 LEXINGTON AVENUE,4,6,8,20,82.75,20,70,1910,E,1995,0
643 WEST 171 STREET,5,31,31,77,95,77,83,1914,,1987,0
113 WEST 96 STREET,5,10,10,31.25,100.92,31,84,1915,E,0,0
144 EAST 38 STREET,3,1,1,20,98.75,20,43,1901,E,0,0
56 WEST 88 STREET,4,3,3,19,100.67,19,55,1901,E,0,0
523 WEST 138 STREET,5,20,20,50,99.92,50,86,1910,E,1987,0
245 EAST 118 STREET,3,2,2,16.67,100.92,16.67,60,1900,E,2003,0
26 WEST 127 STREET,3,0,1,25,99.92,18,50,1920,E,0,0
820 MADISON AVENUE,5,0,1,21,69,21,66,1910,E,1989,2014
444 WEST 51 STREET,3,6,7,18.75,100.42,19,48,1910,E,2002,0
135 SPRING STREET,6,4,7,49.08,100,49,98,1915,E,2014,2004
25 EAST 94 STREET,5,6,6,21.08,100.67,21,73,1920,E,1960,0
145 WEST 14 STREET,5,8,9,18.33,106.5,18,66,1920,E,0,0
